query,link
Set up a Direct Debit for a duty deferment account on the Customs Declaration Service,/guidance/set-up-a-direct-debit-for-a-duty-deferment-account-on-the-customs-declaration-service
Report a free NHS COVID-19 rapid lateral flow test result,/report-covid19-result
Change vehicle details on a V5C registration certificate (log book),/change-vehicle-details-registration-certificate
Inheritance Tax account (IHT400),/government/publications/inheritance-tax-inheritance-tax-account-iht400
Benefit and pension rates 2024 to 2025,/government/publications/benefit-and-pension-rates-2024-to-2025
Register child under 18 as British citizen (form MN1),/government/publications/register-child-under-18-as-british-citizen-form-mn1
Application for transfer of residence relief (ToR1),/guidance/application-for-transfer-of-residence-relief-tor1
Abbreviations and definitions,/guidance/mot-testing-guide/abbreviations-and-definitions
Self Assessment: Capital gains summary (SA108),/government/publications/self-assessment-capital-gains-summary-sa108
United Arab Emirates travel advice,/foreign-travel-advice/united-arab-emirates
Export goods from the UK: step by step,/export-goods
Immigration Rules,/guidance/immigration-rules
School admissions,/schools-admissions
Tell HMRC your company is dormant for Corporation Tax,/tell-hmrc-your-company-is-dormant-for-corporation-tax
Charity Commission online services: sign in or set up an account,/guidance/online-services-for-charities
"Pay taxes, penalties or enquiry settlements",/guidance/pay-taxes-penalties-and-enquiry-settlements
"Indefinite leave to remain if you have a Skilled Worker, T2 or tier 2 visa",/indefinite-leave-to-remain-tier-2-t2-skilled-worker-visa
Indefinite leave to remain (private life),/apply-indefinite-leave-to-remain-private-life
Home Office,/government/organisations/home-office
Self Assessment: self-employment (short) (SA103S),/government/publications/self-assessment-self-employment-short-sa103s
Claim back Income Tax when you've stopped working (P50),/guidance/claim-back-income-tax-when-youve-stopped-working
"Maternity, Adoption and paternity calculator for employers",/maternity-paternity-calculator
Statutory Maternity Pay and Leave: employer guide,/employers-maternity-pay-leave
Apply for a court order to make arrangements for a child or resolve a dispute about their upbringing: Form C100,/government/publications/form-c100-application-under-the-children-act-1989-for-a-child-arrangements-prohibited-steps-specific-issue-section-8-order-or-to-vary-or-discharge
Report changes that affect your Child Benefit,/report-changes-child-benefit
Self-employment and Universal Credit,/self-employment-and-universal-credit
HM Land Registry: Registration Services fees,/guidance/hm-land-registry-registration-services-fees
Changing the sign in details for your GOV.UK One Login,/guidance/changing-the-sign-in-details-for-your-govuk-one-login
Exchange a foreign driving licence,/exchange-foreign-driving-licence
Ecuador travel advice,/foreign-travel-advice/ecuador
HM Passport Office,/government/organisations/hm-passport-office
Skilled Worker visa: eligible occupations,/government/publications/skilled-worker-visa-eligible-occupations
Employer form SSP1: Statutory Sick Pay and an employee's claim for benefit,/government/publications/statutory-sick-pay-employee-not-entitled-form-for-employers
Set up a business,/set-up-business
Apply for a Council Tax discount,/apply-for-council-tax-discount
Become a car driving instructor: step by step,/become-car-driving-instructor
Contact Jobcentre Plus,/contact-jobcentre-plus
Find out which DBS check is right for your employee,/find-out-dbs-check
Who can get a Blue Badge,/government/publications/blue-badge-can-i-get-one
MOT testing guide for test stations,/guidance/mot-testing-guide
Manage your vehicle operator licence,/manage-vehicle-operator-licence
Get MOT reminders,/mot-reminder
UK residence cards,/uk-residence-card
Appeal a benefit decision,/appeal-benefit-decision
Global Entry: apply for faster entry to the USA ,/global-entry-usa
Paternity pay and leave,/paternity-pay-leave
Contact HM Land Registry,/guidance/contact-hm-land-registry
Tax treaties,/government/collections/tax-treaties
New Style Employment and Support Allowance,/guidance/new-style-employment-and-support-allowance
Get a passport photo,/photos-for-passports
Book a National Driver Offender Retraining Scheme course,/book-national-driver-offender-retraining-course
Find a job in teaching or education,/find-teaching-job
Register your company,/government/publications/construction-industry-scheme-company-registration-cis305
Universal Credit: Landlord request for a managed payment or rent arrears deduction,/government/publications/universal-credit-landlord-request-for-a-managed-payment-or-rent-arrears-deduction
Visit someone in prison,/prison-visits
Apply for a Start Up Loan for your business,/apply-start-up-loan
Challenge your Council Tax band,/challenge-council-tax-band
Universal Credit statistics,/government/collections/universal-credit-statistics
Apply to extend your stay in the UK: form FLR(FP),/government/publications/apply-to-extend-your-stay-in-the-uk-form-flrfp
Change a company's registered office address (AD01),/government/publications/change-a-registered-office-address-ad01
Immigration Rules part 1: leave to enter or stay in the UK,/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk
Individual Savings Accounts (ISAs),/individual-savings-accounts
Speeding penalties,/speeding-penalties
Claim tax relief for your job expenses if you cannot claim online,/guidance/send-an-income-tax-relief-claim-for-job-expenses-by-post-or-phone
"Send your rent, lease or ownership details to the Valuation Office Agency",/send-rent-lease-details
Shortage occupation lists,/government/collections/migration-advisory-committee-recommended-shortage-lists
UK Visa and Citizenship Application Services,/ukvcas
Claiming Gift Aid as a charity or CASC,/claim-gift-aid
Find postgraduate teacher training courses,/find-postgraduate-teacher-training-courses
Report your Capital Gains Tax on UK property by post,/guidance/report-your-capital-gains-tax-on-uk-property-by-post
Winter Fuel Payment claim form,/government/publications/winter-fuel-payment-claim-form
Tax your vehicle without a vehicle tax reminder,/tax-vehicle-without-v11-reminder
Carer's Allowance claim form,/government/publications/carers-allowance-claim-form
Review of the shortage occupation list 2023,/government/publications/review-of-the-shortage-occupation-list-2023
I. Discipline,/guidance/mot-testing-guide/i-discipline
VAT guide (VAT Notice 700),/guidance/vat-guide-notice-700
Search for a trade mark,/search-for-trademark
Travel urgently from abroad without your UK passport,/travel-urgently-from-abroad-without-uk-passport
Apply for a sponsor licence,/apply-sponsor-licence
Check what help you could get with childcare costs,/childcare-calculator
Get childcare: step by step,/get-childcare
Tax on dividends,/tax-on-dividends
Get healthcare cover abroad with a UK GHIC or UK EHIC - NHS,https://www.nhs.uk/using-the-nhs/healthcare-abroad/apply-for-a-free-uk-global-health-insurance-card-ghic/
Tax when you get a pension,/tax-on-pension
Request your employment history from National Insurance records,/government/publications/national-insurance-employment-history-request
Death certificate application form,/government/publications/death-certificate-application-form
Become a British citizen by naturalisation (form AN),/government/publications/become-a-british-citizen-by-naturalisation-form-an
Get copies of your duty deferment statements,/guidance/get-copies-of-your-duty-deferment-statements
India Young Professionals Scheme visa: ballot system,/guidance/india-young-professionals-scheme-visa-ballot-system
Tax-free allowances on property and trading income,/guidance/tax-free-allowances-on-property-and-trading-income
Lifetime ISA,/lifetime-isa
Passport fees,/passport-fees
Vehicle registration,/vehicle-registration
Check your driving test appointment details,/check-driving-test
Check your theory test appointment details,/check-theory-test
Dormant companies and associations,/dormant-company
Apply for probate by post if there is not a will: Form PA1A,/government/publications/apply-for-probate-by-post-if-there-is-not-a-will
Certificate of identity for a private individual (ID3),/government/publications/certificate-of-identity-for-a-private-individual-id3
Make an application to a court ('application notice'): Form N244,/government/publications/form-n244-application-notice
"Complete a tax check for a taxi, private hire or scrap metal licence",/guidance/complete-a-tax-check-for-a-taxi-private-hire-or-scrap-metal-licence
"C. Designated councils, taxis and private hire vehicles",/guidance/mot-testing-guide/c-designated-councils-taxis-and-private-hire-vehicles
Thailand travel advice,/foreign-travel-advice/thailand
Employment and Support Allowance: permitted work form,/government/publications/employment-and-support-allowance-permitted-work-form
Turkey travel advice,/foreign-travel-advice/turkey
Clean air zones,/guidance/driving-in-a-clean-air-zone
UK Ancestry visa,/ancestry-visa
Contracts Finder,/contracts-finder
The electoral register and the 'open register',/electoral-register
Department for Work and Pensions – Complaints procedure,/government/organisations/department-for-work-pensions/about/complaints-procedure
Challenge a benefit decision (mandatory reconsideration),/mandatory-reconsideration
Estimate your Income Tax for a previous tax year,/estimate-income-tax-previous-year
Department for Education,/government/organisations/department-for-education
Ofsted,/government/organisations/ofsted
A to Z,/guidance/style-guide/a-to-z-of-gov-uk-style
Apply for Marriage Allowance online,/apply-marriage-allowance
Check an EORI number,/check-eori-number
Closing a limited company,/closing-a-limited-company
Get a prescription prepayment certificate,/get-a-ppc
Sustainable Farming Incentive guidance,/government/collections/sustainable-farming-incentive-guidance
Converting foreign currency amounts to include in the customs value,/guidance/converting-foreign-currency-amounts-to-include-in-the-customs-value
Upload documents and get messages for the Customs Declaration Service,/guidance/send-documents-to-support-declarations-for-the-customs-declaration-service
News and communications,/search/news-and-communications
Claim Child Benefit if you cannot claim online,/government/publications/claim-child-benefit-if-you-cannot-claim-online
TV Licence,/find-licences/tv-licence
Early years funding – extension of the entitlements,/government/consultations/early-years-funding-extension-of-the-entitlements
Charities: change of details form (ChV1),/government/publications/charities-change-of-details-form-chv1
Check how much Income Tax you paid last year,/check-income-tax-last-year
Vehicle tax rates (V149 and V149/1),/government/publications/rates-of-vehicle-tax-v149
Self Assessment: Partnership Tax Return (SA800),/government/publications/self-assessment-partnership-tax-return-sa800
SFI Handbook for the SFI 2023 offer,/government/publications/sfi-handbook-for-the-sfi-2023-offer
Verify identity: citizen (ID1),/government/publications/verify-identity-citizen-id1
Qualified teacher status (QTS): qualify to teach in England,/guidance/qualified-teacher-status-qts
Report a company using your personal details without your permission,/guidance/report-a-company-using-your-personal-details-without-your-permission
Sign in to your agent services account,/guidance/sign-in-to-your-agent-services-account
Private renting,/private-renting
Send a VAT Return,/submit-vat-return
Find a nursery school place,/find-nursery-school-place
Immigration health surcharge: applying for reimbursement,/government/publications/immigration-health-surcharge-applying-for-a-refund
Minimum wage rates for 2023,/government/publications/minimum-wage-rates-for-2023
Check if a document allows someone to work in the UK,/legal-right-work-uk
Tuberculosis tests for visa applicants,/tb-test-visa
MOT inspection manual: cars and passenger vehicles,/guidance/mot-inspection-manual-for-private-passenger-and-light-commercial-vehicles
Child Benefit payment dates,/child-benefit-payment-dates
Apply for an SIA licence,/guidance/apply-for-an-sia-licence
Assured tenancy forms,/guidance/assured-tenancy-forms
Appeal against a penalty charge notice,/appeal-against-a-penalty-charge-notice
Armed forces pensions,/guidance/pensions-and-compensation-for-veterans
Tax when you sell property,/tax-sell-property
"Check if you can get Maternity or Paternity Leave or Pay, or Maternity Allowance",/maternity-paternity-pay-leave
Apply for an EU Settlement Scheme family permit to join family in the UK,/family-permit
Apply for an export health certificate,/guidance/apply-for-an-export-health-certificate
"Apply for healthcare cover in the EU, Iceland, Liechtenstein, Norway or Switzerland (CA8454)",/guidance/apply-for-health-care-cover-in-the-european-economic-area-ca8454
Ofsted services: forgotten your Government Gateway user ID and password,/guidance/ofsted-services-forgotten-your-government-gateway-user-id-and-password
Universal Credit childcare costs,/guidance/universal-credit-childcare-costs
Prove your knowledge of English for citizenship and settling,/english-language
Renew your short-term medical driving licence,/renew-medical-driving-licence
Change the photo on your driving licence,/renew-photo-driving-licence
How to value an estate for Inheritance Tax and report its value,/valuing-estate-of-someone-who-died
National Insurance forms,/government/collections/national-insurance-forms
Rural Payments Agency,/government/organisations/rural-payments-agency
Higher and degree apprenticeships,/government/publications/higher-and-degree-apprenticeships
Immigration Rules Appendix V: Visitor,/guidance/immigration-rules/immigration-rules-appendix-v-visitor
Send a quarterly return for your non-resident landlord tax,/guidance/send-a-quarterly-return-for-your-non-resident-landlord-tax
Business rates,/introduction-to-business-rates
Record MOT test results,/mot-testing-service
Report an immigration or border crime,/report-immigration-crime
Charity Worker visa (Temporary Work),/temporary-worker-charity-worker-visa
Self Assessment: Employment (SA102),/government/publications/self-assessment-employment-sa102
Claim for loss of notice pay ,/claim-loss-notice
Driving licence fees,/driving-licence-fees
Council Tax challenge form,/government/publications/council-tax-challenge-form
Criminal records checks for overseas applicants,/government/publications/criminal-records-checks-for-overseas-applicants
Pension Credit claim form,/government/publications/pension-credit-claim-form--2
Career skills and training,/career-skills-and-training
"Residence, remittance basis etc (Self Assessment SA109)",/government/publications/self-assessment-residence-remittance-basis-etc-sa109
Get a PDU1 certificate or a National Insurance contributions statement,/guidance/get-a-PDU1-certificate-or-a-national-insurance-contributions-statement
Compare the performance of schools and colleges in England,/school-performance-tables
"Indefinite leave to remain (permission to stay as a refugee, humanitarian protection or Discretionary Leave)",/settlement-refugee-or-humanitarian-protection
UK visa sponsorship management system,/sponsor-management-system
Search the charity register,/find-charity-information
Fit note,/government/collections/fit-note
Making Tax Digital for VAT,/government/collections/making-tax-digital-for-vat
National Insurance: general enquiries,/government/organisations/hm-revenue-customs/contact/national-insurance-enquiries-for-employees-and-individuals
"Check if a vehicle, part or accessory has been recalled",/check-vehicle-recall
N. MOT contingency testing procedures,/guidance/mot-testing-guide/n-mot-contingency-testing-procedures
Apply for teacher training,/apply-for-teacher-training
Claim Gift Aid online,/claim-gift-aid-online
Hong Kong British Nationals (Overseas) welcome programme,/government/collections/hong-kong-uk-welcome-programme
Inheritance Tax forms,/government/collections/inheritance-tax-forms
Security Industry Authority,/government/organisations/security-industry-authority
Find a register office,/register-offices
Ask for a visa administrative review,/ask-for-a-visa-administrative-review
Driving test: cars,/driving-test
France travel advice,/foreign-travel-advice/france
International State Pension claim form,/government/publications/guidance-on-claiming-a-state-pension-if-you-retire-abroad
Apply for National Insurance credits if you’re a parent or carer,/government/publications/national-insurance-credits-for-parents-and-carers-cf411a
How to fill in your tax return (2022) ,/government/publications/self-assessment-tax-return-sa100/how-to-fill-in-your-tax-return-2022
Check if a health condition affects your driving,/health-conditions-and-driving
Housing costs and Universal Credit,/housing-and-universal-credit
Tell DVLA your vehicle has been written off,/written-off-vehicle
Find a prisoner,/find-prisoner
Claim capital allowances,/capital-allowances
Child Benefit when your child turns 16,/child-benefit-16-19
Calculate tax on employees' company cars,/calculate-tax-on-company-cars
Lasting and enduring powers of attorney forms,/government/collections/lasting-power-of-attorney-forms
HM Passport Office – About our services,/government/organisations/hm-passport-office/about/about-our-services
Change a company name (NM01),/government/publications/change-a-company-name-nm01
Apply for probate by post if there is a will: Form PA1P,/government/publications/form-pa1p-apply-for-probate-the-deceased-had-a-will
Sure Start Maternity Grant claim form,/government/publications/sure-start-maternity-grant-claim-form
Certify an export health certificate,/guidance/certify-an-export-health-certificate
Claim a refund of Construction Industry Scheme deductions if you're a limited company or an agent,/guidance/claim-a-refund-of-construction-industry-scheme-deductions-if-youre-a-limited-company
DVLA services update,/guidance/dvla-services-update
Immigration Rules part 9: grounds for refusal,/guidance/immigration-rules/immigration-rules-part-9-grounds-for-refusal
VAT rates on different goods and services,/guidance/rates-of-vat-on-different-goods-and-services
Sign in to the Construction Industry Scheme (CIS) online service,/use-construction-industry-scheme-online
Form PA1S: Find a will or probate document,/government/publications/find-a-will-or-probate-document-form-pa1s
Apply for citizenship if your spouse is a British citizen,/apply-citizenship-spouse
Council housing,/council-housing
Driving licence codes,/driving-licence-codes
Double Taxation: Treaty Relief (Form DT-Individual),/government/publications/double-taxation-treaty-relief-form-dt-individual
Anti-money laundering registration,/anti-money-laundering-registration
Applying for more time to file your company’s accounts,/guidance/applying-for-more-time-to-file-your-companys-accounts
Rates and thresholds for employers 2022 to 2023,/guidance/rates-and-thresholds-for-employers-2022-to-2023
Find out how to use the Self Assessment for Agents online service,/guidance/self-assessment-for-agents-online-service
Car driving test,/guidance/understanding-your-driving-test-result/car-driving-test
International Pension Centre,/international-pension-centre
Renew your approved driving instructor (ADI) registration,/renew-approved-driving-instructor-adi-registration
Social Fund Cold Weather Payments,/government/collections/social-fund-cold-weather-payments
Environment Agency,/government/organisations/environment-agency
Easy read: Attendance Allowance,/government/publications/easy-read-attendance-allowance
Self Assessment: Foreign (SA106),/government/publications/self-assessment-foreign-sa106
Claim a tax refund if you've stopped work and flexibly accessed all of your pension (P50Z),/guidance/claim-a-tax-refund-if-youve-stopped-work-and-flexibly-accessed-all-of-your-pension-p50z
New Style Jobseeker's Allowance,/guidance/new-style-jobseekers-allowance
Statutory Sick Pay: employee fitness to work,/guidance/statutory-sick-pay-employee-fitness-to-work
Log in and file your Stamp Duty Land Tax return,/sdlt-online
Seasonal Worker visa (Temporary Work),/seasonal-worker-visa
Simplified expenses if you're self-employed,/simpler-income-tax-simplified-expenses
Construction Skills Certification Scheme,https://www.cscs.uk.com/
How to rent: the checklist for renting in England,/government/publications/how-to-rent/how-to-rent-the-checklist-for-renting-in-england
Dispose of household waste,/dispose-household-waste
Singapore travel advice,/foreign-travel-advice/singapore
Help to Save scheme,/government/organisations/hm-revenue-customs/contact/help-to-save-scheme
Exchange rate policy,/government/publications/exchange-rate-policy
Apply for a primary school place,/apply-for-primary-school-place
Report an excepted estate for Inheritance Tax,/government/publications/inheritance-tax-return-of-estate-information-iht205-2011
Working together to safeguard children,/government/publications/working-together-to-safeguard-children--2
"Health conditions, disability and Universal Credit",/health-conditions-disability-universal-credit
Register a birth,/register-birth
Theory test: cars,/theory-test
Visa to pass through the UK in transit,/transit-visa
Easy read: Tell Us Once,/government/publications/tell-us-once-easy-read-guide
"Charge, reclaim and record VAT",/charge-reclaim-record-vat
Valuation Office Agency,/government/organisations/valuation-office-agency
Apply for help with court and tribunal fees: Form EX160,/government/publications/apply-for-help-with-court-and-tribunal-fees
Claim compensation for Childcare service issues,/government/publications/childcare-service-compensation
Form AN: guidance,/government/publications/form-an-guidance
Benefit overpayments,/benefit-overpayments
How to pay a debt to HMRC with a Time to Pay arrangement,/guidance/find-out-how-to-pay-a-debt-to-hmrc-with-a-time-to-pay-arrangement
Appendix 7: Convictions and repute,/guidance/mot-testing-guide/appendix-7-convictions-and-repute
G. Vehicle presenters,/guidance/mot-testing-guide/g-vehicle-presenters
Make a disclosure using the Worldwide Disclosure Facility,/guidance/worldwide-disclosure-facility-make-a-disclosure
Find ways to save energy in your home,/improve-energy-efficiency
Report tax fraud or avoidance to HMRC,/report-tax-fraud
Apply for Tax-Free Childcare,/apply-for-tax-free-childcare
Complain about UK Visas and Immigration (UKVI),/complain-uk-visas-immigration
Expenses and benefits for employers,/employer-reporting-expenses-benefits
Statutory Sick Pay (SSP): employer guide,/employers-sick-pay
Check a list of genuine HMRC contacts,/government/collections/check-a-list-of-genuine-hmrc-contacts
Office of the Public Guardian,/government/organisations/office-of-the-public-guardian
Changes to National Insurance contributions from 6 January 2024,/government/publications/changes-to-national-insurance-contributions-from-6-january-2024
Statutory Paternity Pay and Leave: becoming a birth parent (SC3),/government/publications/ordinary-statutory-paternity-pay-and-leave-becoming-a-birth-parent-sc3
Apply for a certificate to confirm you pay UK National Insurance when working in 2 or more countries (CA8421),/guidance/check-which-countrys-social-security-legislation-applies-to-you-ca8421i
L. Accounts and fees,/guidance/mot-testing-guide/l-accounts-and-fees
Student finance forms,/student-finance-forms
"5. Wheels, tyres and suspension",/guidance/mot-inspection-manual-for-motorcycles/5-wheels-tyres-and-suspension
Tell Companies House about changes to your limited company,/file-changes-to-a-company-with-companies-house
Applying for a Discretionary Housing Payment,/government/publications/claiming-discretionary-housing-payments
Self Assessment: additional information (SA101),/government/publications/self-assessment-additional-information-sa101
Standard industrial classification of economic activities (SIC),/government/publications/standard-industrial-classification-of-economic-activities-sic
Advisory fuel rates,/guidance/advisory-fuel-rates
How Council Tax works,/council-tax
"Visiting the UK as an EU, EEA or Swiss citizen",/guidance/visiting-the-uk-as-an-eu-eea-or-swiss-citizen
Junior Individual Savings Accounts (ISA),/junior-individual-savings-accounts
What you must do as a Construction Industry Scheme (CIS) contractor,/what-you-must-do-as-a-cis-contractor
Become a qualified heavy goods vehicle (HGV) or bus driver,/become-lorry-bus-driver
"Your benefits, tax and pension after the death of a partner",/death-spouse-benefits-tax-pension
"Medical conditions, disabilities and driving",/driving-medical-conditions
Expenses and benefits: business travel mileage for employees' own vehicles,/expenses-and-benefits-business-travel-mileage
Find a theory test centre,/find-theory-test-centre
Register a partner for Self Assessment and Class 2 National Insurance,/guidance/register-a-partner-for-self-assessment-and-class-2-national-insurance
Cancelling your VAT registration (VAT Notice 700/11),/government/publications/vat-notice-70011-cancelling-your-registration
Sponsor a worker: sponsor guidance part 2,/government/publications/workers-and-temporary-workers-guidance-for-sponsors-part-2-sponsor-a-worker
Rules for pedestrians (1 to 35),/guidance/the-highway-code/rules-for-pedestrians-1-to-35
Parking fines and penalty charge notices,/parking-tickets
Respond to a court claim for money,/respond-to-court-claim-for-money
Transfer your visa from your passport or replace your visa,/transfer-visa
Visas when you separate or divorce,/visas-when-you-separate-or-divorce
Claim asylum in the UK,/claim-asylum
Become an appointee for someone claiming benefits,/become-appointee-for-someone-claiming-benefits
Countersigning passport applications and photos,/countersigning-passport-applications
China travel advice,/foreign-travel-advice/china
Veterans UK,/government/organisations/veterans-uk
Corporation Tax for Company Tax Return (CT600 (2023) Version 3),/government/publications/corporation-tax-company-tax-return-ct600-2015-version-3
How to rent,/government/publications/how-to-rent
Immigration Health Surcharge (IHS): equality impact assessment 2023,/government/publications/immigration-health-surcharge-ihs-equality-impact-assessment-2023
"Being made redundant: finding work, claiming benefits and managing debts",/guidance/redundancy-help-finding-work-and-claiming-benefits
Road markings,/guidance/the-highway-code/road-markings
Pay a penalty for filing your company accounts late,/pay-a-penalty-for-filing-company-accounts-late
Redundancy: your rights,/redundancy-your-rights
Report an untaxed vehicle,/report-untaxed-vehicle
Tax if you leave the UK to live abroad,/tax-right-retire-abroad-return-to-uk
Employees: if your visa sponsor loses their licence,/employee-lose-sponsor-licence
Sri Lanka travel advice,/foreign-travel-advice/sri-lanka
Visit visa: guide to supporting documents,/government/publications/visitor-visa-guide-to-supporting-documents
Living in Spain,/guidance/living-in-spain
Track or view your DBS certificate,/guidance/track-a-dbs-application
National Insurance credits,/national-insurance-credits
Reapply for your driving licence if you've been disqualified,/reapply-licence-revoked
Get a visa application fee waiver from inside the UK,/visa-fee-waiver-in-uk
NHS,https://www.nhs.uk/
Getting a refund from SLC,/government/publications/getting-a-refund-from-slc
Indonesia travel advice,/foreign-travel-advice/indonesia
Get help from HMRC if you need extra support,/get-help-hmrc-extra-support
Getting an MOT,/getting-an-mot
"MOT manuals, checklists and special notices",/government/collections/mot-manuals-and-special-notices
Application for a State Pension forecast,/government/publications/application-for-a-state-pension-statement
Medical examination report for a lorry or bus driving licence (D4),/government/publications/d4-medical-examiner-report-for-a-lorry-or-bus-driving-licence
Christmas Bonus,/christmas-bonus
Register a partnership for Self Assessment,/guidance/register-a-partnership-for-self-assessment
Apply for a repayment of the higher rates of Stamp Duty Land Tax,/government/publications/stamp-duty-land-tax-apply-for-a-repayment-of-the-higher-rates-for-additional-properties
Terminate an appointment of a director (TM01),/government/publications/terminate-an-appointment-of-a-director-tm01
Change your VAT registration details,/guidance/change-your-vat-registration-details
Equality Act 2010: guidance,/guidance/equality-act-2010-guidance
6. Structure and attachments,/guidance/mot-inspection-manual-for-motorcycles/6-structure-and-attachments
Veterans' UK Armed Forces pension and insurance declaration forms,/guidance/veterans-uk-armed-forces-pensions-forms
Making a will,/make-will
Vehicles exempt from vehicle tax,/vehicle-exempt-from-vehicle-tax
National Savings and Investments - NS&I,https://www.nsandi.com/
Check someone's criminal record as an employer,/dbs-check-applicant-criminal-record
Court of Protection,/courts-tribunals/court-of-protection
Business rates valuation account: sign in or set up,/business-rates-valuation-account
Understanding your employees' tax codes,/employee-tax-codes
First Homes scheme: discounts for first-time buyers,/first-homes-scheme
Kenya travel advice,/foreign-travel-advice/kenya
Mexico travel advice,/foreign-travel-advice/mexico
HMRC services for tax agents,/government/collections/hmrc-online-services-for-agents
Medicines and Healthcare products Regulatory Agency,/government/organisations/medicines-and-healthcare-products-regulatory-agency
Extend your stay in the UK as a partner or dependent child: form FLR (M),/government/publications/apply-to-extend-stay-in-the-uk-as-a-partner-or-dependent-child-form-flrm
Appoint a director (AP01),/government/publications/appoint-a-director-ap01
"Dart Charge, Mersey Gateway, clean air zones - Challenge a traffic enforcement order: Form TE9",/government/publications/form-te9-dart-charge-mersey-gateway-clear-air-zones-challenge-a-traffic-enforcement-order
Corporation Tax: trading and non-trading,/guidance/corporation-tax-trading-and-non-trading
"4. Lamps, reflectors and electrical equipment",/guidance/mot-inspection-manual-for-motorcycles/4-lamps-reflectors-and-electrical-equipment
Index,/guidance/the-highway-code/index
Motorways (253 to 274),/guidance/the-highway-code/motorways-253-to-273
Universal Credit and earnings,/guidance/universal-credit-and-earnings
Innovator Founder visa,/innovator-founder-visa
Get a parking permit,/parking-permit
Pay a DVLA fine,/pay-dvla-fine
Tax credits overpayments,/tax-credits-overpayments
Help for Households,https://helpforhouseholds.campaign.gov.uk
Employee rights when on leave,/employee-rights-when-on-leave
Make or update a rural payments claim,/claim-rural-payments
Morocco travel advice,/foreign-travel-advice/morocco
Vietnam travel advice,/foreign-travel-advice/vietnam
CDS Declaration and Customs Clearance Request Instructions (UK Trade Tariff: volume 3 for CDS),/government/collections/uk-trade-tariff-volume-3-for-cds--2
HMCTS Civil Business Centre performance information,/government/publications/hmcts-civil-business-centres-performance-information
Register an enduring power of attorney,/government/publications/register-an-enduring-power-of-attorney
Scrapping your vehicle and insurance write-offs,/scrapped-and-written-off-vehicles
Workplace pensions,/workplace-pensions
Respond to a divorce application,/respond-divorce-application
Dual citizenship,/dual-citizenship
Customs Declaration Service,/government/collections/customs-declaration-service
Landlord's guide to right to rent checks,/government/publications/landlords-guide-to-right-to-rent-checks
Migrants detected crossing the English Channel in small boats,/government/publications/migrants-detected-crossing-the-english-channel-in-small-boats
Check employment status for tax,/guidance/check-employment-status-for-tax
Appendix 4: Liability for loss or damage,/guidance/mot-testing-guide/appendix-4-liability-for-loss-or-damage
Healthy Start,/healthy-start
How to claim New Style Jobseeker's Allowance (JSA): step by step,/how-to-claim-new-style-jsa
Request information about a vehicle or its registered keeper from DVLA ,/request-information-from-dvla
Disability premiums,/disability-premiums
Tax on your UK income if you live abroad,/tax-uk-income-live-abroad
Driving lessons and learning to drive,/driving-lessons-learning-to-drive
"Bringing your pet dog, cat or ferret to Great Britain",/bring-pet-to-great-britain
Confirm someone’s identity online for a passport application,/confirm-identity-online-for-passport-application
Apply for free school meals,/apply-free-school-meals
Barbados travel advice,/foreign-travel-advice/barbados
Canada travel advice,/foreign-travel-advice/canada
Japan travel advice,/foreign-travel-advice/japan
Get a divorce: step by step,/get-a-divorce
HM Land Registry portal: login and guides,/government/collections/how-to-use-the-land-registry-portal
Joint Service Publication (JSP),/government/collections/joint-service-publication-jsp
Agent Dedicated Line: Self Assessment or PAYE for individuals,/government/organisations/hm-revenue-customs/contact/agent-dedicated-line-self-assessment-or-paye-for-individuals
Tax credits: dispute recovery of an overpayment (TC846),/government/publications/tax-credits-overpayment-tc846
The National Minimum Wage in 2023,/government/publications/the-national-minimum-wage-in-2023
Personal Allowances: adjusted net income,/guidance/adjusted-net-income
View your Annual Tax Summary,/guidance/annual-tax-summary
Road users requiring extra care (204 to 225) ,/guidance/the-highway-code/road-users-requiring-extra-care-204-to-225
PAYE80010 - PAYE operation: review of claims and deductions: expenses / P87,/hmrc-internal-manuals/paye-manual/paye80010
Who can get a Blue Badge?,/government/publications/blue-badge-can-i-get-one/can-i-get-a-blue-badge
Login or register for an account,/government/collections/defence-and-security-accelerator-submit-your-research-proposal
Ministers,/government/ministers
Technical support with HMRC online services,/government/organisations/hm-revenue-customs/contact/online-services-helpdesk
Claim a National Insurance refund,/claim-national-insurance-refund
Creating and assigning a CoS: SMS guide 8,/government/publications/creating-and-assigning-a-cos-sms-guide-8
Form MN1: guidance,/government/publications/form-mn1-guidance
Self Assessment: claim to reduce payments on account (SA303),/government/publications/self-assessment-claim-to-reduce-payments-on-account-sa303
Self Assessment: Self-employment (full) (SA103F),/government/publications/self-assessment-self-employment-full-sa103f
Request by an individual for information about a vehicle (form V888),/government/publications/v888-request-by-an-individual-for-information-about-a-vehicle
Filing your company's confirmation statement,/guidance/confirmation-statement-guidance
Countryside Stewardship: get funding to protect and improve the land you manage,/guidance/countryside-stewardship-get-funding-to-protect-and-improve-the-land-you-manage
Immigration Rules part 8: family members,/guidance/immigration-rules/immigration-rules-part-8-family-members
Start paying Council Tax,/guidance/start-paying-council-tax
Renting out your property,/renting-out-a-property
Exchange your paper driving licence for a photocard licence,/exchange-paper-driving-licence
County court judgments for debt,/county-court-judgments-ccj-for-debt
